,Produto,Total_Receitas_2018Q1,Total_Receitas_2018Q2,Total_Receitas_2018Q3,Total_Receitas_2018Q4,Total_Receitas_2019Q1,Total_Receitas_2019Q2,Total_Receitas_2019Q3,Total_Receitas_2019Q4,Total_Receitas_2020Q1,Total_Receitas_2020Q2,Total_Receitas_2020Q3,Total_Receitas_2020Q4,Total_Receitas_2021Q1,Total_Receitas_2021Q2,Total_Receitas_2021Q3,Total_Receitas_2021Q4,Total_Receitas_2022Q1,Total_Receitas_2022Q2,Total_Receitas_2022Q3,Total_Receitas_2022Q4,Total_Unidades_Vendidas_2018Q1,Total_Unidades_Vendidas_2018Q2,Total_Unidades_Vendidas_2018Q3,Total_Unidades_Vendidas_2018Q4,Total_Unidades_Vendidas_2019Q1,Total_Unidades_Vendidas_2019Q2,Total_Unidades_Vendidas_2019Q3,Total_Unidades_Vendidas_2019Q4,Total_Unidades_Vendidas_2020Q1,Total_Unidades_Vendidas_2020Q2,Total_Unidades_Vendidas_2020Q3,Total_Unidades_Vendidas_2020Q4,Total_Unidades_Vendidas_2021Q1,Total_Unidades_Vendidas_2021Q2,Total_Unidades_Vendidas_2021Q3,Total_Unidades_Vendidas_2021Q4,Total_Unidades_Vendidas_2022Q1,Total_Unidades_Vendidas_2022Q2,Total_Unidades_Vendidas_2022Q3,Total_Unidades_Vendidas_2022Q4,Nome_Produto,Unidade_Produto,Referencia_Produto,DataUltimaAtualizacao_Produto,NomeMarca_Produto,Complemento_Produto,Classificacao11_Produto,Classificacao12_Produto,Classificacao13_Produto,Classificacao14_Produto,Classificacao15_Produto,Nome_Class_11_Produto,Nome_Class_12_Produto,Nome_Class_13_Produto,Nome_Class_14_Produto,Nome_Class_15_Produto
900,319469,0.0,35.0,71.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FILA SLANT SUMMER 2.0 PTO/PTA,PR,SLANT SUMMER,2018-07-24 00:00:00,FILA,2.0 PTO/PTA,1,2,2,3,193,CALÇADOS,ESPORTIVO,MASCULINO,ANUAL,TENIS TREKING
901,319470,71.85185185185185,35.0,20.185185185185183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FILA SLANT SUMMER 2.0 BLAC/PIN,PR,SLANT SUMMER,2018-07-24 00:00:00,FILA,2.0 BLAC/PIN,1,2,1,3,193,CALÇADOS,ESPORTIVO,FEMININO,ANUAL,TENIS TREKING
902,319615,0.0,0.0,36.85185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORCADE 061065D PTO,PR,061065D,2017-06-02 00:00:00,ORCADE,PTO,1,1,1,2,39,CALÇADOS,BOUTIQUE,FEMININO,INVERNO,BOTA C.CURTO
903,319694,0.0,0.0,0.0,0.0,2.759259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUMA 14200/11/9990 PTO,PR,14200/11/9990,2017-04-17 00:00:00,PUMA,PTO,3,3,3,3,324,CONFECÇÕES,GERAL,GERAL,ANUAL,MEIA INFANTIL
904,319721,0.0,0.0,13.944444444444445,18.333333333333332,29.333333333333332,36.666666666666664,45.83333333333333,12.833333333333332,22.0,47.666666666666664,0.0,23.88888888888889,19.11111111111111,45.388888888888886,0.0,0.0,14.333333333333332,32.0,0.0,0.0,0.0,0.0,7.0,10.0,16.0,20.0,25.0,7.0,12.0,26.0,0.0,10.0,8.0,19.0,0.0,0.0,6.0,12.0,0.0,0.0,SELENE 7725 BCO,PR,7725,2022-11-03 00:00:00,SELENE,BCO,3,2,3,3,239,CONFECÇÕES,ESPORTIVO,GERAL,ANUAL,MEIA SOQUETE
905,319722,0.0,0.0,38.166666666666664,29.333333333333332,45.83333333333333,18.333333333333332,56.83333333333333,7.333333333333333,7.333333333333333,40.33333333333333,7.333333333333333,23.88888888888889,16.72222222222222,52.55555555555556,0.0,0.0,4.777777777777778,25.74074074074074,0.0,0.0,0.0,0.0,19.0,16.0,25.0,10.0,31.0,4.0,4.0,22.0,4.0,10.0,7.0,22.0,0.0,0.0,2.0,10.0,0.0,0.0,SELENE 7725 PTO,PR,7725,2022-11-03 00:00:00,SELENE,PTO,3,2,3,3,239,CONFECÇÕES,ESPORTIVO,GERAL,ANUAL,MEIA SOQUETE
906,319772,0.0,31.29629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COLUMBIA AM6942/010 PTO,UN,AM6942/010,2017-01-11 00:00:00,COLUMBIA,PTO,3,2,2,2,59,CONFECÇÕES,ESPORTIVO,MASCULINO,INVERNO,CAMISETA M/L
907,319810,0.0,9.24074074074074,9.24074074074074,9.24074074074074,0.0,0.0,0.0,0.0,0.0,0.0,33.27777777777777,33.27777777777777,22.185185185185183,11.092592592592592,44.37037037037037,11.092592592592592,0.0,33.27777777777777,11.092592592592592,11.092592592592592,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,4.0,1.0,0.0,3.0,1.0,1.0,WILSON WRZ537000 PTO,UN,WRZ537000,2020-08-12 00:00:00,WILSON,PTO,2,2,3,3,8,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,ANTIVIBRADOR
908,319820,12.01851851851852,12.01851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HAMMER HEAD SPRINTER AZ,UN,SPRINTER,2016-03-17 00:00:00,HAMMER HEAD,AZ,2,2,3,3,127,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,OCULOS
909,319822,8.481481481481481,0.0,0.0,0.0,8.481481481481481,17.703703703703702,4.611111111111111,0.0,9.222222222222221,27.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HAMMER HEAD LYCRA AZ,PR,LYCRA,2020-01-24 00:00:00,HAMMER HEAD,AZ,2,2,3,2,204,ACESSÓRIOS,ESPORTIVO,GERAL,INVERNO,TOUCA DE NATAÇÃO
